Turns,Rounds,Time
1,2,4.746066093444824
2,1,0.0009970664978027344
3,3,13.100559711456299
4,2,8.352968215942383
5,3,9.80458927154541
6,1,0.0010006427764892578
7,2,4.744275808334351
8,3,14.749862432479858
9,10,202.47312188148499
